,exchange,symbol,timestamp,local_timestamp,asks[0].price,asks[0].amount,bids[0].price,bids[0].amount,asks[1].price,asks[1].amount,bids[1].price,bids[1].amount,asks[2].price,asks[2].amount,bids[2].price,bids[2].amount,asks[3].price,asks[3].amount,bids[3].price,bids[3].amount,asks[4].price,asks[4].amount,bids[4].price,bids[4].amount,asks[5].price,asks[5].amount,bids[5].price,bids[5].amount,asks[6].price,asks[6].amount,bids[6].price,bids[6].amount,asks[7].price,asks[7].amount,bids[7].price,bids[7].amount,asks[8].price,asks[8].amount,bids[8].price,bids[8].amount,asks[9].price,asks[9].amount,bids[9].price,bids[9].amount,asks[10].price,asks[10].amount,bids[10].price,bids[10].amount,asks[11].price,asks[11].amount,bids[11].price,bids[11].amount,asks[12].price,asks[12].amount,bids[12].price,bids[12].amount,asks[13].price,asks[13].amount,bids[13].price,bids[13].amount,asks[14].price,asks[14].amount,bids[14].price,bids[14].amount,asks[15].price,asks[15].amount,bids[15].price,bids[15].amount,asks[16].price,asks[16].amount,bids[16].price,bids[16].amount,asks[17].price,asks[17].amount,bids[17].price,bids[17].amount,asks[18].price,asks[18].amount,bids[18].price,bids[18].amount,asks[19].price,asks[19].amount,bids[19].price,bids[19].amount,asks[20].price,asks[20].amount,bids[20].price,bids[20].amount,asks[21].price,asks[21].amount,bids[21].price,bids[21].amount,asks[22].price,asks[22].amount,bids[22].price,bids[22].amount,asks[23].price,asks[23].amount,bids[23].price,bids[23].amount,asks[24].price,asks[24].amount,bids[24].price,bids[24].amount
6810,deribit,BTC-PERPETUAL,2020-04-01 00:01:28.010966,1585699288010966,6426.0,27650,6425.5,45120,6426.5,1930,6424.5,10000,6427.0,7040,6424.0,5010,6428.0,1460,6423.5,6420,6428.5,36120,6423.0,35110,6429.0,65940,6422.5,21310,6429.5,1000,6422.0,10780,6430.0,22770,6421.5,65740,6430.5,36420,6421.0,192700,6431.0,2310,6420.5,53020,6431.5,44490,6420.0,94810,6432.0,27960,6419.5,4780,6432.5,79530,6419.0,5090,6433.0,111840,6418.5,67840,6433.5,5020,6418.0,24420,6434.0,39030,6417.5,150,6434.5,175520,6417.0,44040,6435.0,36770,6416.5,60,6436.0,51160,6416.0,94270,6436.5,92160,6415.5,23470,6437.0,13120,6415.0,67360,6437.5,47380,6414.5,42850,6438.0,45070,6414.0,65630,6438.5,1280,6413.5,90,6439.0,37290,6413.0,10
6987,deribit,BTC-PERPETUAL,2020-04-01 00:01:29.069444,1585699289069444,6426.5,4730,6426.0,120770,6427.0,13250,6425.5,12390,6428.0,20,6425.0,3210,6428.5,28690,6424.0,6420,6429.0,8110,6423.5,6420,6429.5,10140,6423.0,90370,6430.0,28230,6422.5,7060,6430.5,136000,6422.0,12750,6431.0,2310,6421.5,20860,6431.5,33200,6421.0,203980,6432.0,2840,6420.5,33800,6432.5,50520,6420.0,94810,6433.0,91840,6419.5,4780,6433.5,20,6419.0,5090,6434.0,51970,6418.5,85830,6434.5,195050,6418.0,24420,6435.0,35010,6417.5,1720,6435.5,22310,6417.0,45450,6436.0,51160,6416.5,60,6436.5,93920,6416.0,94270,6437.0,13120,6415.5,23310,6437.5,22390,6415.0,21090,6438.0,45070,6414.5,42850,6438.5,1280,6414.0,65630,6439.0,23900,6413.5,90
7034,deribit,BTC-PERPETUAL,2020-04-01 00:01:30.020839,1585699290020839,6426.5,17460,6426.0,120820,6427.0,400,6425.5,10740,6428.0,140,6425.0,3210,6428.5,28690,6424.5,1600,6429.0,8110,6424.0,6420,6429.5,1140,6423.5,16340,6430.0,51650,6423.0,71000,6430.5,121720,6422.5,7060,6431.0,2010,6422.0,15490,6431.5,33200,6421.5,20740,6432.0,2840,6421.0,210520,6432.5,50520,6420.5,45880,6433.0,91840,6420.0,94810,6433.5,13420,6419.5,25220,6434.0,35900,6419.0,51360,6434.5,192050,6418.5,26360,6435.0,35010,6418.0,24420,6435.5,21540,6417.5,19690,6436.0,51160,6417.0,26620,6436.5,93920,6416.5,1230,6437.0,13120,6416.0,94270,6437.5,22390,6415.5,22140,6438.0,45070,6415.0,19920,6438.5,1280,6414.5,42850,6439.0,23900,6414.0,65630
7073,deribit,BTC-PERPETUAL,2020-04-01 00:01:31.000309,1585699291000309,6426.5,13960,6426.0,120820,6428.0,9650,6425.5,10740,6428.5,28690,6425.0,3210,6429.0,8110,6424.5,1600,6429.5,1000,6424.0,6420,6430.0,42500,6423.5,6610,6430.5,128150,6423.0,71000,6431.0,14050,6422.5,16290,6431.5,26770,6422.0,31060,6432.0,2840,6421.5,20740,6432.5,50520,6421.0,195340,6433.0,91840,6420.5,33920,6433.5,13420,6420.0,94220,6434.0,20410,6419.5,37420,6434.5,210540,6419.0,51360,6435.0,35010,6418.5,26500,6435.5,5000,6418.0,24420,6436.0,51160,6417.5,1460,6436.5,91920,6417.0,26620,6437.0,13120,6416.5,1390,6437.5,23790,6416.0,94270,6438.0,45070,6415.5,22140,6438.5,1880,6415.0,19920,6439.0,23900,6414.5,42850,6439.5,750,6414.0,65630
7111,deribit,BTC-PERPETUAL,2020-04-01 00:01:32.003200,1585699292003200,6426.5,17570,6426.0,120820,6428.0,540,6425.5,740,6428.5,33550,6425.0,3210,6429.0,8110,6424.5,1600,6429.5,24710,6424.0,6420,6430.0,28230,6423.5,6610,6430.5,128310,6423.0,71000,6431.0,2170,6422.5,16400,6431.5,26900,6422.0,30950,6432.0,16230,6421.5,20850,6432.5,50520,6421.0,195340,6433.0,105240,6420.5,33800,6433.5,20,6420.0,94220,6434.0,7010,6419.5,25220,6434.5,210540,6419.0,64280,6435.0,35010,6418.5,26360,6435.5,5000,6418.0,24420,6436.0,51160,6417.5,1460,6436.5,91920,6417.0,26620,6437.0,13120,6416.5,1390,6437.5,47520,6416.0,94270,6438.0,45070,6415.5,22140,6438.5,1880,6415.0,19920,6439.0,23900,6414.5,42850,6439.5,750,6414.0,65630
7131,deribit,BTC-PERPETUAL,2020-04-01 00:01:33.007056,1585699293007056,6426.5,13960,6426.0,120850,6428.0,540,6425.5,720,6428.5,33550,6425.0,3210,6429.0,8110,6424.5,1600,6429.5,24850,6424.0,6420,6430.0,28230,6423.5,15810,6430.5,128150,6423.0,83840,6431.0,2170,6422.5,7170,6431.5,27090,6422.0,24530,6432.0,2680,6421.5,20850,6432.5,62860,6421.0,189110,6433.0,105240,6420.5,46120,6433.5,20,6420.0,94520,6434.0,7010,6419.5,25220,6434.5,210540,6419.0,51360,6435.0,35010,6418.5,26360,6435.5,22210,6418.0,24420,6436.0,51160,6417.5,1460,6436.5,91920,6417.0,26620,6437.0,13120,6416.5,1390,6437.5,23790,6416.0,94270,6438.0,45070,6415.5,22140,6438.5,1880,6415.0,19920,6439.0,23900,6414.5,65880,6439.5,750,6414.0,65630
7160,deribit,BTC-PERPETUAL,2020-04-01 00:01:34.000340,1585699294000340,6426.5,13960,6426.0,130850,6428.0,1980,6425.5,720,6428.5,1800,6425.0,3210,6429.0,6670,6424.5,1600,6429.5,13780,6424.0,6420,6430.0,28230,6423.5,15810,6430.5,136000,6423.0,90370,6431.0,2010,6422.5,12060,6431.5,33330,6422.0,18110,6432.0,2850,6421.5,20850,6432.5,50520,6421.0,189110,6433.0,91840,6420.5,46120,6433.5,20,6420.0,94220,6434.0,21320,6419.5,4920,6434.5,223940,6419.0,51960,6435.0,35010,6418.5,46360,6435.5,22210,6418.0,24420,6436.0,51160,6417.5,1460,6436.5,91920,6417.0,26620,6437.0,13120,6416.5,1390,6437.5,23790,6416.0,94270,6438.0,45070,6415.5,22140,6438.5,1280,6415.0,19920,6439.0,23900,6414.5,65880,6439.5,750,6414.0,65630
7282,deribit,BTC-PERPETUAL,2020-04-01 00:01:35.109813,1585699295109813,6428.0,31290,6427.5,96080,6428.5,520,6427.0,1800,6429.0,8110,6426.5,10000,6429.5,1800,6426.0,7160,6430.0,22230,6425.5,720,6430.5,9630,6425.0,12480,6431.0,51480,6424.5,67700,6431.5,41050,6424.0,12950,6432.0,47040,6423.5,19260,6432.5,57110,6423.0,26000,6433.0,91840,6422.5,22520,6433.5,20,6422.0,2780,6434.0,21320,6421.5,20740,6434.5,188450,6421.0,189410,6435.0,50510,6420.5,92530,6436.0,71160,6420.0,94520,6436.5,91920,6419.5,4780,6437.0,13120,6419.0,21420,6437.5,40130,6418.5,46520,6438.0,43070,6418.0,19420,6438.5,1280,6417.5,1460,6439.0,24540,6417.0,26620,6439.5,750,6416.5,3940,6440.0,13660,6416.0,99270,6440.5,27100,6415.5,22140
7311,deribit,BTC-PERPETUAL,2020-04-01 00:01:36.080392,1585699296080392,6428.0,31290,6427.5,84650,6428.5,520,6427.0,2430,6429.0,8110,6426.5,13230,6429.5,1800,6426.0,7130,6430.0,22230,6425.5,720,6430.5,9630,6425.0,15430,6431.0,51480,6424.5,67700,6431.5,41050,6424.0,12950,6432.0,47040,6423.5,12840,6432.5,57110,6423.0,26000,6433.0,92150,6422.5,22520,6433.5,20,6422.0,2780,6434.0,14320,6421.5,38430,6434.5,188450,6421.0,171420,6435.0,50510,6420.5,92530,6436.0,87230,6420.0,94520,6436.5,98920,6419.5,7790,6437.0,13120,6419.0,40670,6437.5,21790,6418.5,46360,6438.0,43070,6418.0,170,6438.5,1280,6417.5,1630,6439.0,24540,6417.0,26620,6439.5,750,6416.5,1230,6440.0,13660,6416.0,108500,6440.5,27100,6415.5,22140
7344,deribit,BTC-PERPETUAL,2020-04-01 00:01:37.003009,1585699297003009,6428.0,31290,6427.5,37060,6428.5,520,6427.0,2430,6429.0,8110,6426.5,13230,6429.5,1800,6426.0,7130,6430.0,22230,6425.5,720,6430.5,9630,6425.0,15430,6431.0,51480,6424.5,67700,6431.5,41050,6424.0,6420,6432.0,47040,6423.5,19370,6432.5,39390,6423.0,26000,6433.0,91960,6422.5,22520,6433.5,17740,6422.0,20460,6434.0,14320,6421.5,20740,6434.5,188450,6421.0,171420,6435.0,50510,6420.5,92530,6435.5,5000,6420.0,94520,6436.0,87230,6419.5,7390,6436.5,98920,6419.0,40670,6437.0,13120,6418.5,46360,6437.5,23790,6418.0,170,6438.0,41070,6417.5,1630,6438.5,1280,6417.0,26620,6439.0,24540,6416.5,1230,6439.5,750,6416.0,108500,6440.0,13660,6415.5,22140
7366,deribit,BTC-PERPETUAL,2020-04-01 00:01:38.036019,1585699298036019,6428.0,17590,6427.5,37690,6428.5,520,6427.0,1800,6429.0,8110,6426.5,13230,6429.5,1800,6426.0,7130,6430.0,22230,6425.5,720,6430.5,9630,6425.0,6420,6431.0,51480,6424.5,67700,6431.5,41050,6424.0,15970,6432.0,47040,6423.5,19370,6432.5,39390,6423.0,26120,6433.0,91960,6422.5,22520,6433.5,17740,6422.0,20460,6434.0,14320,6421.5,20740,6434.5,175050,6421.0,183800,6435.0,35010,6420.5,33800,6435.5,33900,6420.0,140930,6436.0,87230,6419.5,7390,6436.5,98920,6419.0,24340,6437.0,13120,6418.5,46360,6437.5,23790,6418.0,170,6438.0,41070,6417.5,1630,6438.5,1280,6417.0,26620,6439.0,24540,6416.5,1240,6439.5,750,6416.0,108490,6440.0,13660,6415.5,22140
7384,deribit,BTC-PERPETUAL,2020-04-01 00:01:39.070641,1585699299070641,6428.0,17590,6427.5,55390,6428.5,120,6427.0,1800,6429.0,8510,6426.5,3230,6429.5,1800,6426.0,7130,6430.0,22230,6425.5,720,6430.5,9630,6425.0,6420,6431.0,65760,6424.5,67700,6431.5,26770,6424.0,6420,6432.0,47040,6423.5,16540,6432.5,39390,6423.0,38960,6433.0,91960,6422.5,22520,6433.5,17740,6422.0,20460,6434.0,14320,6421.5,21140,6434.5,175050,6421.0,183400,6435.0,35010,6420.5,33800,6435.5,33900,6420.0,140630,6436.0,87230,6419.5,7390,6436.5,98920,6419.0,24340,6437.0,13120,6418.5,46360,6437.5,21790,6418.0,170,6438.0,43070,6417.5,1630,6438.5,1280,6417.0,26620,6439.0,25140,6416.5,1240,6439.5,750,6416.0,108500,6440.0,13060,6415.5,22140
7637,deribit,BTC-PERPETUAL,2020-04-01 00:01:40.002935,1585699300002935,6429.5,5140,6429.0,134150,6430.5,7130,6428.5,11600,6431.0,1150,6428.0,11880,6431.5,26660,6427.5,2450,6432.0,35230,6426.5,12860,6432.5,9590,6426.0,72040,6433.0,35690,6425.5,7380,6433.5,91530,6425.0,6420,6434.0,32700,6424.5,21100,6434.5,25050,6424.0,15590,6435.0,65090,6423.5,12000,6435.5,13400,6423.0,108010,6436.0,21160,6422.5,390,6436.5,22660,6422.0,221580,6437.0,13120,6421.5,20740,6437.5,41790,6421.0,24240,6438.0,49500,6420.5,1210,6438.5,35510,6420.0,71020,6439.0,146910,6419.5,4180,6439.5,750,6419.0,41220,6440.0,13060,6418.5,151230,6440.5,212100,6418.0,170,6441.0,4570,6417.5,1460,6442.0,24060,6417.0,26620,6442.5,42520,6416.5,1240
7753,deribit,BTC-PERPETUAL,2020-04-01 00:01:41.014963,1585699301014963,6429.5,3660,6429.0,145450,6430.0,110,6428.5,2300,6430.5,7130,6428.0,7120,6431.0,10,6427.5,36280,6431.5,6940,6426.5,26060,6432.0,47090,6426.0,72330,6432.5,1440,6425.5,710,6433.0,23140,6425.0,6540,6433.5,45660,6424.5,36770,6434.0,10460,6424.0,3000,6434.5,22050,6423.5,29840,6435.0,129090,6423.0,90910,6435.5,170,6422.5,390,6436.0,21160,6422.0,248450,6436.5,160,6421.5,20900,6437.0,20720,6421.0,29970,6437.5,57290,6420.5,1050,6438.0,54480,6420.0,24880,6438.5,280,6419.5,1490,6439.0,146910,6419.0,41220,6439.5,7750,6418.5,151230,6440.0,23160,6418.0,170,6440.5,208100,6417.5,1460,6441.0,14570,6417.0,26620,6442.0,24060,6416.5,11500
7974,deribit,BTC-PERPETUAL,2020-04-01 00:01:42.010544,1585699302010544,6431.5,3640,6431.0,139520,6432.0,120,6430.5,10000,6432.5,120,6430.0,6930,6433.0,22010,6429.5,6670,6433.5,2220,6429.0,5280,6434.0,1450,6428.5,3300,6434.5,35060,6428.0,186290,6435.0,113750,6427.5,100180,6435.5,9730,6427.0,130,6436.0,28360,6426.5,12840,6436.5,15080,6426.0,20910,6437.0,18010,6425.5,18410,6437.5,37290,6425.0,13380,6438.0,14490,6424.5,38310,6438.5,17240,6424.0,23000,6439.0,120810,6423.5,46410,6439.5,47040,6423.0,90910,6440.0,5670,6422.5,17740,6440.5,23100,6422.0,2640,6441.0,34440,6421.5,22270,6441.5,90000,6421.0,121020,6442.0,24060,6420.5,1050,6442.5,7160,6420.0,24880,6443.0,100220,6419.5,10710,6443.5,23420,6419.0,21950
8162,deribit,BTC-PERPETUAL,2020-04-01 00:01:43.012098,1585699303012098,6432.0,3730,6431.5,69090,6433.0,540,6430.0,6430,6433.5,20,6429.5,6670,6434.0,280,6429.0,66520,6434.5,16720,6428.5,25740,6435.0,3210,6428.0,177110,6435.5,11030,6427.5,55280,6436.0,27900,6427.0,15500,6436.5,59450,6426.5,3340,6437.0,64470,6426.0,24700,6437.5,79020,6425.5,32130,6438.0,1080,6425.0,67600,6438.5,3880,6424.5,22810,6439.0,81320,6424.0,24530,6439.5,62550,6423.5,47800,6440.0,670,6423.0,27010,6440.5,43100,6422.5,17740,6441.0,28160,6422.0,1270,6441.5,243260,6421.5,20740,6442.0,59060,6421.0,116020,6442.5,5280,6420.5,6050,6443.0,20,6420.0,24750,6443.5,23420,6419.5,10560,6444.0,4360,6419.0,25890,6444.5,3150,6418.5,55990
8195,deribit,BTC-PERPETUAL,2020-04-01 00:01:44.027443,1585699304027443,6432.0,140,6431.5,64840,6433.0,540,6430.0,9640,6433.5,20,6429.5,6670,6434.0,9440,6429.0,66520,6434.5,20360,6428.5,32180,6435.0,3210,6428.0,173900,6435.5,400,6427.5,48840,6436.0,28060,6427.0,15500,6436.5,59450,6426.5,4880,6437.0,18200,6426.0,24700,6437.5,79020,6425.5,20070,6438.0,1080,6425.0,67600,6438.5,50150,6424.5,34770,6439.0,81020,6424.0,70800,6439.5,62850,6423.5,4240,6440.0,3060,6423.0,27010,6440.5,44850,6422.5,390,6441.0,28160,6422.0,1270,6441.5,241510,6421.5,58730,6442.0,59060,6421.0,94050,6442.5,5280,6420.5,7220,6443.0,630,6420.0,25920,6443.5,23420,6419.5,10560,6444.0,4360,6419.0,24720,6444.5,3150,6418.5,54820
8218,deribit,BTC-PERPETUAL,2020-04-01 00:01:45.018016,1585699305018016,6432.0,4750,6431.5,65840,6433.0,540,6431.0,30,6433.5,20,6430.0,9640,6434.0,9440,6429.5,6670,6434.5,20360,6429.0,66520,6435.0,3210,6428.5,32180,6436.0,28460,6428.0,173900,6436.5,59450,6427.5,48830,6437.0,18200,6427.0,15500,6437.5,125290,6426.5,4880,6438.0,1080,6426.0,24690,6438.5,3880,6425.5,50050,6439.0,81020,6425.0,67600,6439.5,62550,6424.5,34770,6440.0,3360,6424.0,70800,6440.5,44850,6423.5,4240,6441.0,28160,6423.0,27010,6441.5,241510,6422.5,19650,6442.0,59060,6422.0,1270,6442.5,3280,6421.5,39470,6443.0,2630,6421.0,94050,6443.5,23420,6420.5,7220,6444.0,4360,6420.0,25920,6444.5,3150,6419.5,10560,6445.0,47370,6419.0,24720
8238,deribit,BTC-PERPETUAL,2020-04-01 00:01:46.445372,1585699306445372,6432.0,4750,6431.5,65840,6433.0,540,6431.0,30,6433.5,1820,6430.0,9640,6434.0,9440,6429.5,7070,6434.5,18560,6429.0,66520,6435.0,3210,6428.5,31780,6436.0,28060,6428.0,189380,6436.5,59450,6427.5,48830,6437.0,870,6427.0,17730,6437.5,125290,6426.5,4880,6438.0,1080,6426.0,24690,6438.5,21620,6425.5,32350,6439.0,81020,6425.0,67600,6439.5,47040,6424.5,34780,6440.0,3060,6424.0,70800,6440.5,60360,6423.5,4240,6441.0,28160,6423.0,27010,6441.5,241510,6422.5,19650,6442.0,59060,6422.0,1270,6442.5,3280,6421.5,39470,6443.0,2630,6421.0,94050,6443.5,23420,6420.5,17490,6444.0,4360,6420.0,25920,6444.5,3150,6419.5,10560,6445.0,47370,6419.0,24720
8280,deribit,BTC-PERPETUAL,2020-04-01 00:01:47.006725,1585699307006725,6432.0,4730,6431.5,74530,6433.0,560,6431.0,30,6433.5,1820,6430.0,9640,6434.0,13140,6429.5,7090,6434.5,1910,6429.0,66520,6435.0,3210,6428.5,18910,6435.5,86740,6428.0,208650,6436.0,28220,6427.5,42410,6436.5,59450,6427.0,17730,6437.0,870,6426.5,5000,6437.5,79020,6426.0,24570,6438.0,1080,6425.5,32350,6438.5,28050,6425.0,67600,6439.0,81020,6424.5,34780,6439.5,40610,6424.0,24530,6440.0,3060,6423.5,50510,6440.5,60360,6423.0,27010,6441.0,28160,6422.5,19650,6441.5,241510,6422.0,1270,6442.0,59060,6421.5,20740,6442.5,3280,6421.0,94050,6443.0,2630,6420.5,17490,6443.5,23420,6420.0,25920,6444.0,4360,6419.5,10560,6444.5,3150,6419.0,48630
8313,deribit,BTC-PERPETUAL,2020-04-01 00:01:48.007754,1585699308007754,6432.0,13980,6431.5,22290,6432.5,4590,6431.0,30,6433.0,1100,6430.5,19080,6433.5,3260,6430.0,9640,6434.0,9490,6429.5,7090,6434.5,46740,6429.0,66520,6435.0,3210,6428.5,18910,6435.5,29990,6428.0,189380,6436.0,28220,6427.5,55260,6436.5,45160,6427.0,17730,6437.0,19310,6426.5,11420,6437.5,79020,6426.0,24570,6438.0,14490,6425.5,32350,6438.5,21620,6425.0,67600,6439.0,54870,6424.5,34780,6439.5,40610,6424.0,24530,6440.0,3060,6423.5,4240,6440.5,60360,6423.0,27010,6441.0,28160,6422.5,65920,6441.5,241510,6422.0,1270,6442.0,59060,6421.5,39710,6442.5,3280,6421.0,94050,6443.0,2020,6420.5,12490,6443.5,23420,6420.0,25920,6444.0,4970,6419.5,15560
8370,deribit,BTC-PERPETUAL,2020-04-01 00:01:49.030009,1585699309030009,6432.0,42000,6431.5,21900,6432.5,4010,6431.0,30,6433.0,730,6430.0,6430,6433.5,3260,6429.5,7090,6434.0,9490,6429.0,69730,6434.5,68690,6428.5,12490,6435.0,3210,6428.0,189380,6435.5,29990,6427.5,61680,6436.0,42350,6427.0,17730,6436.5,45550,6426.5,10150,6437.0,19320,6426.0,24690,6437.5,79020,6425.5,33890,6438.0,1080,6425.0,67600,6438.5,21620,6424.5,34640,6439.0,68280,6424.0,24530,6439.5,40610,6423.5,4380,6440.0,3060,6423.0,27010,6440.5,58610,6422.5,46660,6441.0,28160,6422.0,1270,6441.5,243260,6421.5,58970,6442.0,59060,6421.0,94050,6442.5,5280,6420.5,12490,6443.0,20,6420.0,25920,6443.5,23420,6419.5,15560,6444.0,4360,6419.0,24960
8422,deribit,BTC-PERPETUAL,2020-04-01 00:01:50.024090,1585699310024090,6432.0,42370,6431.5,3400,6432.5,3640,6430.5,6430,6433.0,540,6430.0,1800,6433.5,9930,6429.5,7090,6434.0,9500,6429.0,24510,6434.5,68690,6428.5,12490,6435.0,48210,6428.0,182960,6435.5,29990,6427.5,111680,6436.0,42350,6427.0,17950,6436.5,5550,6426.5,10150,6437.0,19320,6426.0,24690,6437.5,79020,6425.5,33890,6438.0,1080,6425.0,67600,6438.5,21620,6424.5,34640,6439.0,68280,6424.0,24530,6439.5,40610,6423.5,4380,6440.0,3060,6423.0,27010,6440.5,58610,6422.5,420,6441.0,28160,6422.0,47540,6441.5,243260,6421.5,58970,6442.0,59060,6421.0,94050,6442.5,5280,6420.5,12490,6443.0,20,6420.0,25920,6443.5,23420,6419.5,15560,6444.0,4360,6419.0,24960
8464,deribit,BTC-PERPETUAL,2020-04-01 00:01:51.142840,1585699311142840,6432.0,22310,6431.5,41700,6432.5,1800,6430.0,8230,6433.0,4550,6429.5,7090,6433.5,1480,6429.0,24510,6434.0,9500,6428.5,12490,6434.5,68690,6428.0,182960,6435.0,48210,6427.5,118100,6435.5,29990,6427.0,17950,6436.0,42190,6426.5,3730,6436.5,5550,6426.0,24690,6437.0,7130,6425.5,33890,6437.5,79020,6425.0,67600,6438.0,18820,6424.5,34640,6438.5,18190,6424.0,24530,6439.0,54840,6423.5,4380,6439.5,40960,6423.0,73280,6440.0,20170,6422.5,420,6440.5,72020,6422.0,1270,6441.0,10060,6421.5,58970,6441.5,241510,6421.0,94050,6442.0,59060,6420.5,12490,6442.5,5030,6420.0,25920,6443.0,2020,6419.5,15560,6443.5,23420,6419.0,24960,6444.0,4360,6418.5,54820
8473,deribit,BTC-PERPETUAL,2020-04-01 00:01:52.094024,1585699312094024,6432.0,22310,6431.5,41700,6432.5,1800,6430.0,8230,6433.0,4550,6429.5,7090,6433.5,1480,6429.0,24510,6434.0,9500,6428.5,12490,6434.5,68690,6428.0,182960,6435.0,48210,6427.5,118100,6435.5,29990,6427.0,17950,6436.0,42190,6426.5,3730,6436.5,5550,6426.0,24690,6437.0,7130,6425.5,33890,6437.5,79020,6425.0,67600,6438.0,18820,6424.5,34650,6438.5,18490,6424.0,24530,6439.0,54540,6423.5,4380,6439.5,40960,6423.0,27010,6440.0,20170,6422.5,420,6440.5,72020,6422.0,1270,6441.0,10060,6421.5,105240,6441.5,241510,6421.0,94050,6442.0,59060,6420.5,12490,6442.5,5030,6420.0,25920,6443.0,2020,6419.5,15560,6443.5,23420,6419.0,24960,6444.0,4360,6418.5,54820
8518,deribit,BTC-PERPETUAL,2020-04-01 00:01:53.003956,1585699313003956,6432.0,17720,6431.5,51400,6432.5,1800,6431.0,11800,6433.0,540,6430.0,6430,6433.5,1480,6429.5,7090,6434.0,150,6429.0,24510,6434.5,31650,6428.5,12490,6435.0,94480,6428.0,183070,6435.5,29990,6427.5,117990,6436.0,42190,6427.0,17950,6436.5,5550,6426.5,3730,6437.0,7130,6426.0,36780,6437.5,79020,6425.5,33890,6438.0,18820,6425.0,67610,6438.5,18190,6424.5,21280,6439.0,54540,6424.0,24530,6439.5,41260,6423.5,4240,6440.0,3390,6423.0,73280,6440.5,72020,6422.5,430,6441.0,27580,6422.0,1270,6441.5,241510,6421.5,58970,6442.0,59060,6421.0,94050,6442.5,5030,6420.5,12490,6443.0,2020,6420.0,25920,6443.5,23420,6419.5,15560,6444.0,4360,6419.0,24960
8530,deribit,BTC-PERPETUAL,2020-04-01 00:01:54.046041,1585699314046041,6432.0,17720,6431.5,51400,6433.0,540,6431.0,11800,6433.5,3280,6430.0,6430,6434.0,150,6429.5,7090,6434.5,31650,6429.0,24510,6435.0,94480,6428.5,12490,6435.5,29990,6428.0,183070,6436.0,42190,6427.5,111570,6436.5,5550,6427.0,17950,6437.0,7130,6426.5,10270,6437.5,79020,6426.0,36660,6438.0,18820,6425.5,33890,6438.5,18190,6425.0,67620,6439.0,54540,6424.5,21270,6439.5,41260,6424.0,24530,6440.0,3390,6423.5,4240,6440.5,72020,6423.0,27010,6441.0,27580,6422.5,430,6441.5,241510,6422.0,47540,6442.0,59060,6421.5,58970,6442.5,5030,6421.0,94050,6443.0,2020,6420.5,12490,6443.5,23420,6420.0,25920,6444.0,4360,6419.5,15560,6444.5,8150,6419.0,24960
8562,deribit,BTC-PERPETUAL,2020-04-01 00:01:55.289947,1585699315289947,6432.0,24920,6431.5,49110,6433.0,540,6431.0,3160,6433.5,3280,6430.5,10000,6434.0,9210,6430.0,9640,6434.5,22560,6429.5,7090,6435.0,94480,6429.0,27720,6435.5,29990,6428.5,12490,6436.0,42190,6428.0,182960,6436.5,5550,6427.5,105260,6437.0,7130,6427.0,19490,6437.5,79020,6426.5,10150,6438.0,18820,6426.0,24690,6438.5,18190,6425.5,44420,6439.0,54540,6425.0,67620,6439.5,40960,6424.5,21270,6440.0,3390,6424.0,24530,6440.5,72020,6423.5,4240,6441.0,27580,6423.0,46270,6441.5,241510,6422.5,430,6442.0,59060,6422.0,47540,6442.5,5030,6421.5,39710,6443.0,2020,6421.0,94050,6443.5,23420,6420.5,12490,6444.0,4360,6420.0,25920,6444.5,8150,6419.5,15560
8586,deribit,BTC-PERPETUAL,2020-04-01 00:01:56.034777,1585699316034777,6432.0,26820,6431.5,19810,6433.0,910,6431.0,1800,6433.5,3280,6430.5,1360,6434.0,9210,6430.0,19640,6434.5,22560,6429.5,7090,6435.0,94480,6429.0,27720,6435.5,29990,6428.5,12490,6436.0,42190,6428.0,182960,6436.5,900,6427.5,105260,6437.0,7130,6427.0,19490,6437.5,79020,6426.5,10150,6438.0,18820,6426.0,24690,6438.5,18190,6425.5,32350,6439.0,54870,6425.0,67620,6439.5,40610,6424.5,34660,6440.0,3060,6424.0,24530,6440.5,72020,6423.5,4390,6441.0,27580,6423.0,92540,6441.5,241510,6422.5,440,6442.0,59060,6422.0,1270,6442.5,5030,6421.5,39710,6443.0,2020,6421.0,94050,6443.5,23420,6420.5,12490,6444.0,4360,6420.0,25920,6444.5,8150,6419.5,15560
8675,deribit,BTC-PERPETUAL,2020-04-01 00:01:57.041869,1585699317041869,6432.0,98510,6431.5,1900,6432.5,1610,6429.5,6690,6433.0,67490,6429.0,3910,6433.5,51690,6428.5,11490,6434.0,9210,6428.0,3500,6434.5,22770,6427.5,60550,6435.0,3960,6427.0,23550,6436.0,42190,6426.5,160150,6436.5,18960,6426.0,85160,6437.0,9730,6425.5,32350,6437.5,78670,6425.0,86860,6438.0,24290,6424.5,34660,6438.5,46750,6424.0,4530,6439.0,144840,6423.5,1680,6439.5,47040,6423.0,27010,6440.0,3060,6422.5,20440,6440.5,23100,6422.0,1270,6441.0,29330,6421.5,39710,6441.5,151510,6421.0,26020,6442.0,60600,6420.5,12490,6442.5,3280,6420.0,25920,6443.0,5020,6419.5,56830,6443.5,23420,6419.0,24960,6444.0,360,6418.5,149820,6444.5,3150,6418.0,170
